practice_code	list_size	postcode	grid_ref	easting	northing	latitude	longitude
55893	6101	IV2 3NF	NH 67045 45303	267045	845303	57.478418	-4.2189858
55911	5347	PH22 1SY	NH 89664 13384	289664	813384	57.197916	-3.8277101
55925	5408	PH26 3HR	NJ 03534 28518	303534	828518	57.336941	-3.6041686
55930	2988	PH21 1ET	NH 75620 00772	275620	800772	57.081098	-4.0536955
55944	463	PH20 1AH	NN 61250 94469	261250	794469	57.020415	-4.2870904
56006	9673	IV2 4AG	NH 66769 44610	266769	844610	57.472117	-4.2232068
56011	2535	IV2 4TP	NH 67501 43783	267501	843783	57.464908	-4.210563
56025	1597	PH49 4JB	NN 08290 58281	208290	758281	56.676855	-5.1308989
56030	1792	PH41 4RN	NM 67468 96842	167468	796842	57.003987	-5.8309065
56523	2910	IV49 9AA	NG 64145 24085	164145	824085	57.246461	-5.9111801
56538	1087	IV11 8YF	NH 78642 67552	278642	867552	57.681395	-4.0368575
60054	14405	G69 9DW	NS 68312 69811	268312	669811	55.903339	-4.1079081
60073	3890	G33 6HA	NS 65957 68535	265957	668535	55.891232	-4.144914
60088	3491	G33 6EY	NS 65954 68578	265954	668578	55.891617	-4.1449833
60092	12940	G73 2PQ	NS 61627 61120	261627	661120	55.823433	-4.2103087
60105	4983	G73 2PQ	NS 61627 61120	261627	661120	55.823433	-4.2103087
60110	4749	G73 2PQ	NS 61627 61120	261627	661120	55.823433	-4.2103087
60124	2745	G72 8HA	NS 63643 60656	263643	660656	55.819841	-4.1779223
60139	4511	G73 2PQ	NS 61627 61120	261627	661120	55.823433	-4.2103087
60143	11666	G72 8AT	NS 63897 60581	263897	660581	55.81924	-4.173834
60158	1541	G73 2LD	NS 61187 61416	261187	661416	55.825965	-4.2174774
60162	1643	G72 7EX	NS 64383 60598	264383	660598	55.819529	-4.166092
60177	9237	G72 8RW	NS 65578 59694	265578	659694	55.811747	-4.1465872
60181	3897	G73 2PQ	NS 61627 61120	261627	661120	55.823433	-4.2103087
60196	2042	G73 2PQ	NS 61627 61120	261627	661120	55.823433	-4.2103087
60209	4121	G72 8HA	NS 63643 60656	263643	660656	55.819841	-4.1779223
60213	11113	ML1 1TA	NS 75643 56501	275643	656501	55.785772	-3.9846298
60228	3681	ML5 2RY	NS 71459 68943	271459	668943	55.896396	-4.0571964
61061	9715	ML6 6DB	NS 76294 65394	276294	665394	55.865795	-3.978306
61131	5032	ML6 6DB	NS 76294 65394	276294	665394	55.865795	-3.978306
61151	4030	ML6 6DB	NS 76294 65394	276294	665394	55.865795	-3.978306
61170	1737	ML6 6DB	NS 76294 65394	276294	665394	55.865795	-3.978306
61216	2137	ML5 4BY	NS 73039 64167	273039	664167	55.853931	-4.0297076
61240	6795	ML5 3AP	NS 73290 64804	273290	664804	55.859717	-4.0259986
61305	5657	G67 2ES	NS 77031 75117	277031	675117	55.953291	-3.9709627
61324	5289	G67 4DN	NS 73483 72945	273483	672945	55.932867	-4.0267263
61339	10871	G67 1BJ	NS 75995 74377	275995	674377	55.94638	-3.9872028
61343	12079	G67 1BJ	NS 75995 74377	275995	674377	55.94638	-3.9872028
61358	12976	G67 1BP	NS 75357 73740	275357	673740	55.940495	-3.9971173
61377	4603	G67 3BE	NS 78255 75826	278255	675826	55.95997	-3.9516932
61381	3031	G67 3BE	NS 78255 75826	278255	675826	55.95997	-3.9516932
61447	21008	ML5 3AP	NS 73290 64804	273290	664804	55.859717	-4.0259986
61451	7759	ML5 3AP	NS 73290 64804	273290	664804	55.859717	-4.0259986
61466	6527	ML5 3BJ	NS 73404 65029	273404	665029	55.861767	-4.0242836
61485	6144	ML5 3BJ	NS 73404 65029	273404	665029	55.861767	-4.0242836
61502	14120	G65 9JE	NS 71472 78043	271472	678043	55.978108	-4.0613252
61625	20832	ML6 6DB	NS 76294 65394	276294	665394	55.865795	-3.978306
61644	8119	G74 3BE	NS 64994 55215	264994	655215	55.771368	-4.1536775
61659	6662	ML6 6DB	NS 76294 65394	276294	665394	55.865795	-3.978306
62011	6102	ML4 1DQ	NS 74218 60264	274218	660264	55.819193	-4.0090781
62031	8637	ML4 1QD	NS 74125 60221	274125	660221	55.818783	-4.0105414
62045	2542	ML1 4LT	NS 76186 59780	276186	659780	55.815356	-3.977469
62050	8043	ML4 1PS	NS 74016 60237	274016	660237	55.818898	-4.0122873
62115	3188	ML1 5AG	NS 77831 59056	277831	659056	55.809274	-3.950909
62120	3202	ML1 4TH	NS 76371 60498	276371	660498	55.821851	-3.9748453
62219	6712	ML8 4BA	NS 84767 50614	284767	650614	55.735167	-3.8367335
